espece_botanique_code,espece_botanique_title,qualifiant_code,periode_semis_code,culture_EDI,id_parcelle_pv,debut_traitement,type_travail_code,type_travail_title,surface_evt,id_parcelle_vi,uc_name,amm_id,quantite_intrant,unite_intrant,dose
ZAR,Blé tendre,,ZFB,,0122,201710160000,SET,Semis classique,"0,6935",0122,CHEVIGNON,,"86,6875",KGM,125
ZAR,Blé tendre,,ZFB,,0125,201710160000,SET,Semis classique,"7,39",0125,EXPERT,,"1145,45",KGM,155
ZAR,Blé tendre,,ZFB,,0125,201710160000,SET,Semis classique,"7,39",0125,EXPERT,,"1144,5632",KGM,"154,88"
ZAR,Blé tendre,,ZFB,ZARZFB,0127,201710170000,SEX,Traitement phytosanitaire,"4,2282",0127,COMPIL,2130068,"0,8456",LTR,"0,200"
ZAR,Blé tendre,,ZFB,ZARZFB,0127,201710170000,SEX,Traitement phytosanitaire,"4,2282",0127,TROOPER,2090118,"8,4564",LTR,"2,000"
ZAR,Blé tendre,,ZFB,ZARZFB,0127,201710170000,SEX,Traitement phytosanitaire,"4,2282",0127,DEFI,8700462,"8,4564",LTR,"2,000"
ZAR,Blé tendre,,ZFB,ZARZFB,0137,201710170000,SEX,Traitement phytosanitaire,000000003,0137,COMPIL,2130068,"0,6",LTR,"0,200"
ZAR,Blé tendre,,ZFB,ZARZFB,0137,201710170000,SEX,Traitement phytosanitaire,000000003,0137,TROOPER,2090118,000000006,LTR,"2,000"
ZAR,Blé tendre,,ZFB,ZARZFB,0137,201710170000,SEX,Traitement phytosanitaire,000000003,0137,DEFI,8700462,000000006,LTR,"2,000"
ZAR,Blé tendre,,ZFB,ZARZFB,0140,201710170000,SEX,Traitement phytosanitaire,"1,7423",0140,COMPIL,2130068,"0,3485",LTR,"0,200"
ZAR,Blé tendre,,ZFB,ZARZFB,0140,201710170000,SEX,Traitement phytosanitaire,"1,7423",0140,TROOPER,2090118,"3,4846",LTR,"2,000"
ZAR,Blé tendre,,ZFB,ZARZFB,0140,201710170000,SEX,Traitement phytosanitaire,"1,7423",0140,DEFI,8700462,"3,4846",LTR,"2,000"
ZAR,Blé tendre,,ZFB,ZARZFB,0127,201710170000,SEX,Traitement phytosanitaire,"4,2282",0127,COMPIL,2130068,"0,8456",LTR,"0,200"
ZAR,Blé tendre,,ZFB,ZARZFB,0127,201710170000,SEX,Traitement phytosanitaire,"4,2282",0127,TROOPER,2090118,"8,4564",LTR,"2,000"
ZAR,Blé tendre,,ZFB,ZARZFB,0127,201710170000,SEX,Traitement phytosanitaire,"4,2282",0127,DEFI,8700462,"8,4564",LTR,"2,000"
ZAR,Blé tendre,,ZFB,ZARZFB,0137,201710170000,SEX,Traitement phytosanitaire,000000003,0137,COMPIL,2130068,"0,6",LTR,"0,200"
ZAR,Blé tendre,,ZFB,ZARZFB,0137,201710170000,SEX,Traitement phytosanitaire,000000003,0137,TROOPER,2090118,000000006,LTR,"2,000"
ZAR,Blé tendre,,ZFB,ZARZFB,0137,201710170000,SEX,Traitement phytosanitaire,000000003,0137,DEFI,8700462,000000006,LTR,"2,000"
ZAR,Blé tendre,,ZFB,ZARZFB,0140,201710170000,SEX,Traitement phytosanitaire,"1,7423",0140,COMPIL,2130068,"0,3485",LTR,"0,200"
ZAR,Blé tendre,,ZFB,ZARZFB,0140,201710170000,SEX,Traitement phytosanitaire,"1,7423",0140,TROOPER,2090118,"3,4846",LTR,"2,000"
ZAR,Blé tendre,,ZFB,ZARZFB,0140,201710170000,SEX,Traitement phytosanitaire,"1,7423",0140,DEFI,8700462,"3,4846",LTR,"2,000"
ZAR,Blé tendre,,ZFB,,0134,201710240000,SET,Semis classique,"7,5",0134,SYSTEM,,000001215,KGM,162
ZAR,Blé tendre,,ZFB,,0134,201710240000,SET,Semis classique,"7,5",0134,SYSTEM,,000001215,KGM,162
ZAR,Blé tendre,,ZFB,,0134,201710240000,SET,Semis classique,"7,5",0134,SYSTEM,,000001215,KGM,162
ZAR,Blé tendre,,ZFB,,0134,201710240000,SET,Semis classique,"7,5",0134,SYSTEM,,000001215,KGM,162
ZAR,Blé tendre,,ZFB,,0136,201710260000,SET,Semis classique,"6,3169",0136,FRUCTIDOR,,"947,535",KGM,150
ZAR,Blé tendre,,ZFB,,0136,201710260000,SET,Semis classique,"6,3169",0136,FRUCTIDOR,,"948,1667",KGM,"150,1000016"
ZAR,Blé tendre,,ZFB,,0136,201710260000,SET,Semis classique,"6,3169",0136,FRUCTIDOR,,"947,535",KGM,150
ZAR,Blé tendre,,ZFB,,0136,201710260000,SET,Semis classique,"6,3169",0136,FRUCTIDOR,,"948,1667",KGM,"150,1000016"
ZAR,Blé tendre,,ZFB,,0123,201710280000,SET,Semis classique,"8,44",0123,FILON*,,"1392,6",KGM,165
ZAR,Blé tendre,,ZFB,,0123,201710280000,SET,Semis classique,"8,44",0123,FILON*,,"1393,866",KGM,"165,15"
ZAR,Blé tendre,,ZFB,,0123,201710280000,SET,Semis classique,"8,44",0123,FILON*,,"1392,6",KGM,165
ZAR,Blé tendre,,ZFB,,0123,201710280000,SET,Semis classique,"8,44",0123,FILON*,,"1393,866",KGM,"165,15"
ZAP,Betterave,ZAN,,ZAPZAN,0120,201802280000,SEX,Traitement phytosanitaire,"7,507",0120,CENTIUM 36 CS,2000299,"0,3754",LTR,"0,050"
ZAP,Betterave,ZAN,,ZAPZAN,0120,201802280000,SEX,Traitement phytosanitaire,"7,507",0120,HELIOSOL (jusqu'au 06/08/2021),7200313,"2,2521",LTR,"0,300"
ZAP,Betterave,ZAN,,ZAPZAN,0120,201802280000,SEX,Traitement phytosanitaire,"7,507",0120,MENHIR FL,9400479,"7,507",LTR,"1,000"
ZAP,Betterave,ZAN,,ZAPZAN,0120,201802280000,SEX,Traitement phytosanitaire,"7,507",0120,BETASANA OPTI,2160916,"9,7591",LTR,"1,300"
ZAR,Blé tendre,,ZFB,ZARZFB,0122,201802280000,SEM,Fertilisation,"0,6935",0122,Ammo 24N-16S,,"144,4791",KGM,"208,3332372"
ZAR,Blé tendre,,ZFB,ZARZFB,0122,201802280000,SEM,Fertilisation,"0,6935",0122,Ammo 27N-3Mg,,"128,4259",KGM,"185,1851478"
ZAR,Blé tendre,,ZFB,ZARZFB,0123,201802280000,SEM,Fertilisation,"8,44",0123,Ammo 24N-16S,,"1758,3331",KGM,"208,3333057"
ZAR,Blé tendre,,ZFB,ZARZFB,0123,201802280000,SEM,Fertilisation,"8,44",0123,Ammo 27N-3Mg,,"1562,9631",KGM,"185,1852014"
ZAR,Blé tendre,,ZFB,ZARZFB,0125,201802280000,SEM,Fertilisation,"7,39",0125,Ammo 24N-16S,,"1539,5831",KGM,"208,3333018"
ZAR,Blé tendre,,ZFB,ZARZFB,0125,201802280000,SEM,Fertilisation,"7,39",0125,Ammo 27N-3Mg,,"1861,1855",KGM,"251,8518945"
ZAR,Blé tendre,,ZFB,ZARZFB,0127,201802280000,SEM,Fertilisation,"4,2282",0127,Ammo 24N-16S,,"880,8749",KGM,"208,3333097"
ZAR,Blé tendre,,ZFB,ZARZFB,0127,201802280000,SEM,Fertilisation,"4,2282",0127,Ammo 27N-3Mg,,"970,9199",KGM,"229,629606"
ZAR,Blé tendre,,ZFB,ZARZFB,0129,201802280000,SEM,Fertilisation,000000003,0129,Ammo 24N-16S,,"624,9999",KGM,"208,3333"
ZAR,Blé tendre,,ZFB,ZARZFB,0129,201802280000,SEM,Fertilisation,000000003,0129,Ammo 27N-3Mg,,"688,8888",KGM,"229,6296"
ZDH,Orge,ZMV,ZFB,ZDHZMVZFB,0131,201802280000,SEM,Fertilisation,"5,5",0131,Ammo 24N-16S,,"1604,1669",KGM,"291,6667091"
ZAP,Betterave,ZAN,,ZAPZAN,0132,201802280000,SEX,Traitement phytosanitaire,"6,71",0132,CENTIUM 36 CS,2000299,"0,3355",LTR,"0,050"
ZAP,Betterave,ZAN,,ZAPZAN,0132,201802280000,SEX,Traitement phytosanitaire,"6,71",0132,HELIOSOL (jusqu'au 06/08/2021),7200313,"2,013",LTR,"0,300"
ZAP,Betterave,ZAN,,ZAPZAN,0132,201802280000,SEX,Traitement phytosanitaire,"6,71",0132,MENHIR FL,9400479,"6,71",LTR,"1,000"
ZAP,Betterave,ZAN,,ZAPZAN,0132,201802280000,SEX,Traitement phytosanitaire,"6,71",0132,BETASANA OPTI,2160916,"8,723",LTR,"1,300"
ZAR,Blé tendre,,ZFB,ZARZFB,0134,201802280000,SEM,Fertilisation,"7,5",0134,Ammo 24N-16S,,"1562,4997",KGM,"208,3332933"
ZAR,Blé tendre,,ZFB,ZARZFB,0134,201802280000,SEM,Fertilisation,"7,5",0134,Ammo 27N-3Mg,,"2000,0003",KGM,"266,6667067"
ZAP,Betterave,ZAN,,ZAPZAN,0135,201802280000,SEX,Traitement phytosanitaire,"3,1046",0135,CENTIUM 36 CS,2000299,"0,1552",LTR,"0,050"
ZAP,Betterave,ZAN,,ZAPZAN,0135,201802280000,SEX,Traitement phytosanitaire,"3,1046",0135,HELIOSOL (jusqu'au 06/08/2021),7200313,"0,9314",LTR,"0,300"
ZAP,Betterave,ZAN,,ZAPZAN,0135,201802280000,SEX,Traitement phytosanitaire,"3,1046",0135,MENHIR FL,9400479,"3,1046",LTR,"1,000"
ZAP,Betterave,ZAN,,ZAPZAN,0135,201802280000,SEX,Traitement phytosanitaire,"3,1046",0135,BETASANA OPTI,2160916,"4,036",LTR,"1,300"
ZAR,Blé tendre,,ZFB,ZARZFB,0136,201802280000,SEM,Fertilisation,"6,3169",0136,Ammo 24N-16S,,"1316,0206",KGM,"208,3332964"
ZAR,Blé tendre,,ZFB,ZARZFB,0136,201802280000,SEM,Fertilisation,"6,3169",0136,Ammo 27N-3Mg,,"1684,5069",KGM,"266,6667036"
ZAR,Blé tendre,,ZFB,ZARZFB,0137,201802280000,SEM,Fertilisation,000000003,0137,Ammo 24N-16S,,"624,9999",KGM,"208,3333"
ZAR,Blé tendre,,ZFB,ZARZFB,0137,201802280000,SEM,Fertilisation,000000003,0137,Ammo 27N-3Mg,,"511,1112",KGM,"170,3704"
ZDH,Orge,ZMV,ZFB,ZDHZMVZFB,0138,201802280000,SEM,Fertilisation,"7,8911",0138,Ammo 24N-16S,,"2301,5711",KGM,"291,6667005"
ZDH,Orge,ZMV,ZFB,ZDHZMVZFB,0139,201802280000,SEM,Fertilisation,"1,5726",0139,Ammo 24N-16S,,"458,6751",KGM,"291,6667303"
